-622,-618,-636,-613,-645,-613,-618,-622,-604,-618,-645,-631,-618,-627,-636,-636,-622,-627,-622,-604,-613,-631,-613,-636,-631,-618,-627,-604,-636,-613,-622,-627,-631,-618,-618,-618,-636,-641,-627,-618,-622,-622,-636,-613,-608,-622,-595,-627,-622,-631,-618,-622,-608,-608,-608,-627,-622,-627,-631,-613,-613,-627,-608,-613,-608,-618,-595,-608,-586,-618,-618,-627,-622,-608,-604,-613,-627,-599,-618,-613,-608,-613,-604,-613,-618,-618,-599,-627,-595,-604,-595,-595,-608,-613,-613,-604,-618,-604,-618,-608,-590,-590,-599,-599,-608,-613,-613,-595,-599,-604,-595,-608,-595,-590,-590,-608,-599,-590,-595,-595,-590,-586,-586,-604,-586,-604,-608,-599,-586,-586,-581,-599,-595,-577,-586,-577,-604,-581,-595,-590,-590,-568,-613,-581,-581,-608,-604,-599,-595,-590,-595,-595,-595,-595,-590,-599,-604,-613,-581,-599,-595,-586,-586,-572,-604,-599,-563,-586,-595,-590,-599,-577,-595,-590,-577,-595,-595,-599,-586,-599,-599,-604,-590,-604,-608,-581,-618,-581,-618,-586,-590,-599,-599,-604,-604,-599,-608,-608,-595,-599,-613,-581,-608,-604,-604,-604,-604,-604,-622,-577,-604,-608,-599,-604,-613,-613,-599,-599,-604,-604,-590,-613,-604,-599,-604,-608,-590,-604,-599,-604,-595,-613,-627,-622,-608,-604,-641,-590,-595,-604,-618,-599,-604,-604,-604,-604,-622,-604,-613,-604,-608,-608,-604,-608,-613,-613,-599,-608,-608,-599,-613,-604,-613,-595,-613,-608,-631,-613,-599,-604,-608,-590,-604,-608,-631,-595,-604,-604,-613,-613,-627,-599,-618,-627,-595,-599,-631,-590,-618,-604,-599,-618,-613,-604,-604,-631,-599,-604,-627,-599,-618,-627,-599,-613,-608,-608,-604,-595,-599,-599,-627,-608,-599,-636,-622,-622,-631,-622,-622,-599,-622,-604,-608,-608,-604,-618,-618,-599,-604,-618,-599,-631,-604,-604,-627,-631,-608,-618,-622,-608,-608,-622,-604,-618,-627,-631,-613,-618,-608,-604,-631,-636,-613,-636,-631,-627,-627,-622,-613,-636,-590,-618,-613,-627,-627,-627,-627,-599,-627,-636,-604,-618,-618,-631,-631,-613,-631,-627,-636,-622,-631,-631
-622,-613,-622,-622,-627,-627,-618,-622,-631,-613,-613,-636,-622,-622,-618,-608,-622,-631,-622,-618,-613,-622,-631,-618,-618,-627,-613,-650,-627,-622,-622,-604,-631,-627,-599,-636,-622,-608,-618,-618,-613,-631,-618,-622,-622,-613,-622,-631,-636,-618,-595,-613,-613,-604,-613,-618,-613,-618,-595,-608,-622,-645,-608,-608,-599,-631,-622,-604,-622,-613,-586,-618,-618,-595,-595,-618,-608,-641,-608,-604,-613,-608,-618,-618,-604,-599,-613,-604,-613,-622,-618,-590,-604,-613,-599,-627,-599,-618,-613,-595,-595,-608,-604,-608,-590,-627,-595,-595,-595,-590,-595,-599,-604,-599,-604,-595,-599,-604,-599,-604,-572,-595,-599,-613,-590,-590,-586,-599,-586,-577,-577,-581,-586,-590,-581,-590,-590,-599,-586,-590,-586,-581,-608,-595,-599,-586,-586,-595,-618,-577,-581,-599,-595,-572,-581,-590,-590,-581,-590,-599,-599,-595,-581,-604,-595,-590,-595,-590,-568,-590,-613,-595,-604,-586,-581,-599,-586,-608,-613,-608,-618,-595,-595,-599,-595,-568,-608,-599,-604,-608,-577,-618,-608,-595,-604,-595,-608,-604,-595,-599,-595,-608,-586,-608,-586,-608,-613,-595,-599,-618,-590,-599,-622,-595,-608,-618,-618,-604,-608,-613,-608,-599,-618,-599,-613,-595,-618,-608,-618,-595,-608,-604,-618,-599,-636,-608,-622,-613,-604,-595,-604,-613,-622,-622,-608,-613,-599,-595,-599,-608,-608,-604,-613,-599,-608,-604,-631,-604,-599,-599,-599,-613,-604,-608,-608,-604,-586,-622,-631,-604,-590,-622,-599,-608,-590,-604,-618,-613,-618,-618,-631,-622,-604,-613,-599,-599,-613,-618,-627,-613,-631,-627,-613,-604,-627,-604,-627,-604,-590,-636,-622,-613,-631,-608,-636,-613,-613,-622,-599,-608,-595,-636,-627,-618,-622,-622,-618,-604,-604,-636,-618,-631,-618,-613,-604,-613,-604,-622,-613,-618,-599,-613,-622,-613,-627,-631,-618,-613,-604,-618,-613,-608,-613,-618,-618,-622,-627,-622,-599,-608,-618,-636,-636,-622,-604,-631,-613,-618,-618,-622,-622,-631,-627,-608,-622,-631,-618,-604,-618,-627,-631,-627,-604,-622,-618,-622,-631,-622,-604,-622,-599,-631
-604,-641,-641,-604,-608,-618,-636,-618,-613,-631,-622,-631,-622,-613,-618,-631,-613,-631,-622,-622,-631,-627,-618,-627,-613,-627,-622,-595,-608,-622,-613,-618,-613,-618,-622,-608,-613,-618,-613,-586,-618,-613,-631,-608,-608,-613,-627,-631,-627,-645,-608,-636,-618,-618,-618,-613,-627,-613,-622,-613,-613,-618,-618,-613,-618,-627,-604,-618,-618,-618,-608,-636,-618,-622,-618,-641,-627,-604,-599,-618,-627,-618,-613,-608,-613,-618,-618,-618,-613,-627,-631,-599,-613,-631,-604,-613,-618,-627,-613,-622,-599,-604,-590,-599,-627,-590,-622,-604,-586,-622,-608,-613,-627,-595,-599,-604,-604,-590,-604,-608,-604,-613,-595,-581,-595,-586,-595,-599,-572,-581,-581,-586,-590,-595,-599,-599,-586,-599,-608,-595,-595,-590,-604,-599,-586,-590,-595,-599,-604,-608,-604,-599,-586,-586,-590,-595,-608,-599,-590,-595,-590,-595,-590,-568,-586,-599,-595,-590,-595,-590,-595,-604,-595,-586,-599,-581,-604,-604,-586,-608,-604,-590,-608,-604,-604,-604,-586,-618,-595,-604,-581,-604,-604,-595,-595,-604,-590,-608,-613,-604,-599,-618,-613,-590,-590,-595,-618,-599,-618,-586,-599,-604,-613,-595,-613,-595,-613,-627,-608,-599,-590,-608,-613,-586,-622,-608,-613,-613,-604,-618,-608,-613,-604,-604,-618,-604,-599,-618,-599,-599,-613,-599,-604,-608,-608,-586,-636,-613,-599,-604,-604,-599,-599,-613,-608,-618,-618,-604,-604,-604,-622,-604,-599,-608,-604,-590,-622,-595,-618,-622,-608,-618,-608,-622,-595,-604,-599,-622,-599,-608,-604,-627,-627,-604,-608,-599,-604,-631,-595,-599,-618,-613,-599,-622,-595,-631,-595,-627,-618,-613,-608,-645,-613,-590,-595,-622,-613,-631,-618,-627,-595,-618,-618,-631,-618,-604,-631,-622,-613,-604,-622,-618,-622,-613,-622,-622,-608,-631,-631,-622,-627,-618,-636,-618,-608,-613,-618,-645,-608,-599,-622,-631,-631,-631,-641,-604,-627,-599,-622,-622,-627,-618,-618,-627,-627,-627,-604,-622,-622,-613,-604,-608,-631,-627,-608,-586,-622,-631,-627,-622,-636,-604,-622,-622,-618,-631,-627,-618,-618,-622,-627,-618
-608,-622,-613,-618,-613,-608,-631,-613,-613,-622,-631,-618,-608,-613,-622,-613,-608,-613,-586,-622,-608,-631,-608,-613,-608,-618,-590,-618,-618,-618,-631,-622,-627,-618,-622,-618,-618,-627,-618,-599,-631,-618,-627,-622,-636,-622,-627,-613,-622,-604,-622,-613,-627,-599,-613,-613,-608,-618,-618,-586,-618,-618,-622,-618,-627,-613,-622,-618,-618,-590,-613,-604,-613,-586,-622,-590,-622,-622,-599,-613,-631,-590,-618,-618,-599,-599,-622,-618,-618,-590,-613,-608,-604,-599,-595,-608,-618,-586,-590,-608,-618,-586,-586,-586,-599,-613,-618,-599,-608,-604,-595,-599,-599,-595,-608,-590,-622,-604,-590,-586,-581,-618,-604,-581,-586,-586,-595,-595,-590,-590,-581,-590,-604,-590,-577,-568,-590,-608,-590,-590,-577,-590,-622,-595,-599,-604,-599,-595,-608,-595,-599,-599,-581,-590,-563,-586,-586,-586,-586,-595,-590,-590,-599,-581,-586,-590,-604,-586,-572,-586,-581,-599,-581,-590,-608,-613,-595,-604,-604,-586,-604,-608,-608,-595,-613,-581,-604,-618,-572,-595,-618,-595,-604,-613,-599,-595,-604,-613,-599,-595,-608,-568,-608,-599,-590,-604,-599,-618,-577,-595,-599,-595,-604,-604,-613,-599,-604,-595,-608,-613,-595,-604,-613,-590,-599,-613,-608,-599,-613,-586,-608,-604,-613,-604,-613,-604,-608,-608,-590,-599,-608,-604,-599,-595,-608,-599,-595,-618,-595,-613,-604,-595,-604,-613,-595,-618,-604,-599,-590,-599,-595,-608,-590,-613,-608,-599,-618,-599,-604,-608,-604,-608,-599,-599,-599,-613,-595,-599,-627,-599,-608,-608,-631,-604,-608,-627,-590,-627,-622,-586,-599,-599,-595,-604,-604,-618,-613,-604,-581,-613,-608,-604,-622,-599,-608,-618,-613,-604,-599,-608,-604,-590,-627,-627,-631,-599,-636,-627,-604,-608,-604,-636,-631,-608,-608,-622,-622,-622,-618,-631,-613,-618,-608,-613,-608,-595,-608,-631,-613,-641,-613,-599,-622,-631,-604,-622,-622,-627,-627,-627,-613,-604,-618,-595,-622,-613,-622,-627,-627,-627,-618,-622,-627,-608,-627,-613,-608,-636,-622,-636,-604,-631,-618,-618,-622,-627,-627,-608,-608,-631,-613,-608
-604,-631,-622,-645,-641,-631,-660,-608,-613,-608,-599,-608,-613,-622,-622,-627,-599,-613,-608,-645,-636,-631,-595,-636,-622,-627,-631,-608,-631,-631,-618,-604,-613,-595,-599,-618,-613,-622,-613,-608,-622,-627,-613,-618,-618,-613,-622,-618,-613,-604,-618,-599,-613,-618,-636,-618,-608,-613,-608,-618,-618,-595,-608,-618,-618,-622,-627,-627,-595,-595,-595,-618,-604,-586,-608,-622,-613,-608,-613,-613,-631,-608,-622,-622,-608,-590,-608,-608,-613,-618,-595,-618,-586,-590,-618,-599,-618,-599,-590,-604,-608,-613,-618,-608,-581,-595,-618,-604,-604,-608,-590,-599,-622,-595,-595,-599,-599,-586,-586,-595,-599,-581,-572,-604,-608,-599,-604,-599,-590,-590,-595,-581,-608,-590,-604,-595,-599,-595,-572,-599,-604,-572,-590,-595,-599,-595,-586,-608,-577,-599,-586,-590,-595,-608,-590,-577,-599,-595,-604,-608,-599,-604,-604,-599,-599,-590,-599,-572,-595,-613,-586,-599,-599,-590,-595,-599,-577,-581,-581,-599,-604,-599,-599,-613,-595,-613,-599,-599,-604,-599,-586,-590,-613,-595,-604,-599,-613,-604,-613,-604,-595,-608,-613,-599,-595,-613,-599,-613,-604,-613,-608,-595,-604,-595,-608,-608,-595,-608,-613,-618,-595,-613,-613,-618,-604,-604,-618,-604,-618,-599,-613,-608,-608,-608,-608,-613,-618,-608,-608,-608,-599,-613,-618,-618,-604,-599,-599,-595,-618,-604,-608,-590,-586,-608,-595,-608,-599,-608,-599,-604,-627,-608,-599,-608,-599,-613,-599,-604,-590,-595,-604,-618,-613,-608,-613,-604,-604,-618,-599,-613,-599,-618,-604,-613,-599,-631,-608,-627,-608,-627,-631,-590,-608,-627,-599,-627,-618,-627,-604,-618,-627,-641,-613,-586,-595,-618,-608,-622,-631,-622,-608,-627,-627,-618,-622,-604,-636,-631,-608,-618,-599,-631,-595,-604,-636,-608,-618,-604,-627,-618,-622,-604,-599,-608,-636,-613,-599,-599,-627,-613,-608,-613,-641,-613,-627,-599,-608,-608,-604,-622,-604,-627,-627,-604,-641,-627,-627,-613,-627,-641,-622,-636,-627,-636,-622,-613,-631,-618,-618,-627,-627,-618,-627,-608,-631,-622,-627,-618,-622,-618,-631,-622
-613,-636,-636,-655,-604,-613,-618,-613,-631,-618,-608,-631,-650,-631,-618,-645,-645,-608,-636,-627,-622,-641,-631,-618,-622,-631,-613,-631,-636,-604,-618,-631,-627,-631,-618,-618,-622,-627,-631,-627,-631,-622,-631,-595,-613,-631,-618,-622,-627,-618,-627,-618,-641,-636,-608,-618,-627,-645,-604,-627,-599,-631,-636,-631,-618,-627,-636,-636,-608,-622,-604,-604,-590,-613,-627,-631,-608,-613,-627,-622,-627,-604,-595,-595,-613,-613,-627,-622,-599,-618,-622,-627,-618,-604,-613,-599,-613,-604,-599,-608,-622,-608,-631,-599,-622,-590,-599,-622,-586,-595,-618,-604,-581,-595,-590,-590,-608,-590,-599,-586,-590,-613,-590,-599,-590,-581,-581,-577,-595,-568,-590,-577,-599,-577,-568,-577,-581,-581,-577,-595,-604,-586,-599,-599,-581,-577,-595,-599,-604,-595,-577,-604,-581,-604,-590,-604,-595,-599,-599,-590,-595,-608,-572,-595,-568,-572,-604,-604,-581,-572,-586,-604,-581,-604,-568,-595,-590,-608,-608,-590,-604,-590,-608,-599,-604,-599,-595,-608,-613,-604,-604,-604,-608,-608,-590,-590,-599,-608,-608,-604,-604,-595,-599,-604,-608,-604,-586,-568,-590,-595,-608,-604,-613,-618,-608,-599,-590,-590,-608,-590,-604,-599,-595,-608,-604,-599,-590,-618,-599,-599,-613,-599,-599,-604,-613,-595,-604,-608,-613,-604,-599,-604,-608,-604,-599,-608,-604,-608,-613,-608,-627,-604,-604,-604,-586,-613,-608,-595,-613,-604,-608,-618,-599,-595,-599,-590,-581,-608,-622,-622,-608,-608,-613,-613,-608,-604,-604,-622,-604,-608,-595,-595,-590,-590,-599,-618,-595,-618,-627,-599,-613,-604,-618,-599,-604,-604,-608,-622,-622,-622,-613,-599,-618,-613,-608,-618,-618,-604,-618,-618,-618,-622,-636,-599,-618,-599,-599,-618,-599,-631,-595,-618,-618,-627,-613,-618,-595,-622,-631,-604,-618,-627,-618,-631,-604,-608,-622,-622,-613,-631,-608,-622,-627,-627,-613,-613,-608,-622,-608,-618,-613,-604,-627,-613,-608,-595,-608,-599,-604,-627,-599,-618,-613,-604,-622,-599,-604,-599,-631,-622,-608,-618,-608,-622,-622,-627,-622,-604,-631,-599,-627,-627
-604,-636,-627,-613,-622,-622,-631,-641,-608,-622,-622,-622,-608,-622,-613,-613,-622,-608,-631,-608,-608,-627,-627,-599,-627,-613,-608,-641,-608,-627,-595,-622,-631,-627,-618,-627,-631,-608,-622,-622,-622,-631,-618,-622,-627,-627,-622,-613,-622,-608,-618,-631,-627,-618,-622,-613,-608,-622,-627,-622,-618,-622,-618,-599,-590,-604,-613,-613,-590,-595,-627,-613,-622,-618,-608,-599,-636,-618,-618,-604,-631,-618,-608,-618,-627,-627,-608,-599,-608,-599,-613,-631,-604,-608,-613,-586,-608,-586,-590,-613,-604,-595,-613,-618,-599,-618,-595,-590,-595,-618,-581,-586,-595,-590,-599,-586,-581,-595,-604,-599,-599,-586,-586,-572,-595,-599,-613,-590,-581,-604,-599,-599,-586,-590,-586,-572,-595,-595,-595,-595,-586,-608,-595,-577,-590,-608,-595,-604,-577,-590,-608,-590,-599,-608,-599,-590,-595,-595,-618,-608,-599,-590,-586,-599,-595,-599,-595,-577,-586,-599,-590,-590,-595,-604,-604,-613,-613,-586,-599,-599,-618,-608,-595,-608,-613,-604,-604,-622,-595,-618,-604,-590,-590,-581,-590,-590,-590,-604,-595,-599,-622,-613,-599,-608,-608,-613,-608,-595,-595,-599,-613,-608,-613,-627,-599,-599,-608,-613,-595,-613,-581,-636,-604,-595,-608,-618,-613,-599,-608,-613,-604,-627,-622,-590,-613,-608,-631,-613,-604,-618,-618,-604,-604,-608,-608,-599,-608,-595,-608,-599,-608,-590,-604,-618,-604,-613,-599,-604,-608,-618,-604,-604,-608,-608,-595,-613,-604,-590,-608,-590,-604,-604,-608,-608,-604,-622,-631,-622,-599,-604,-595,-608,-618,-618,-608,-627,-599,-608,-622,-595,-622,-627,-613,-627,-604,-618,-613,-604,-595,-627,-604,-604,-608,-631,-627,-608,-599,-608,-618,-622,-613,-622,-627,-613,-599,-618,-641,-622,-604,-604,-608,-622,-608,-631,-636,-599,-618,-618,-618,-618,-608,-631,-631,-613,-631,-618,-618,-608,-627,-622,-622,-608,-627,-636,-618,-622,-595,-608,-622,-613,-608,-636,-599,-608,-590,-608,-622,-641,-590,-627,-622,-618,-595,-631,-613,-636,-622,-622,-627,-608,-604,-613,-618,-618,-627,-622,-618,-618,-590,-613,-631,-631
-599,-622,-618,-608,-631,-613,-631,-627,-645,-636,-631,-631,-613,-618,-631,-604,-627,-595,-627,-622,-618,-618,-627,-622,-627,-645,-613,-608,-622,-604,-608,-595,-627,-618,-627,-604,-622,-613,-622,-613,-595,-613,-608,-608,-622,-622,-618,-622,-622,-613,-618,-627,-618,-618,-613,-622,-608,-618,-618,-627,-604,-608,-613,-613,-622,-613,-622,-618,-622,-613,-618,-622,-618,-618,-613,-604,-622,-613,-636,-608,-636,-595,-613,-618,-608,-622,-622,-631,-608,-595,-608,-618,-599,-613,-613,-599,-608,-590,-622,-622,-590,-608,-599,-613,-618,-604,-613,-590,-604,-590,-599,-586,-604,-595,-590,-590,-604,-608,-599,-590,-590,-627,-613,-590,-590,-586,-586,-599,-613,-590,-577,-586,-590,-581,-595,-581,-595,-581,-618,-622,-590,-595,-599,-590,-595,-581,-604,-590,-595,-586,-590,-604,-604,-604,-586,-590,-599,-608,-586,-590,-604,-595,-577,-595,-595,-586,-604,-599,-595,-581,-599,-586,-595,-599,-599,-590,-577,-586,-568,-599,-604,-595,-604,-577,-613,-604,-595,-599,-599,-599,-599,-604,-590,-599,-595,-604,-595,-599,-595,-604,-577,-590,-595,-613,-599,-595,-590,-590,-618,-590,-608,-581,-595,-577,-595,-604,-599,-604,-636,-599,-595,-608,-608,-604,-577,-622,-599,-604,-636,-608,-604,-595,-599,-599,-608,-599,-622,-595,-599,-599,-618,-581,-599,-595,-604,-618,-586,-604,-613,-608,-618,-613,-604,-599,-595,-604,-599,-590,-586,-586,-586,-608,-631,-608,-622,-613,-599,-581,-604,-618,-586,-590,-608,-613,-608,-604,-604,-599,-613,-590,-599,-595,-627,-604,-613,-599,-599,-622,-590,-631,-604,-604,-608,-599,-599,-618,-608,-595,-595,-604,-599,-604,-595,-622,-604,-618,-608,-622,-608,-604,-599,-613,-604,-590,-599,-604,-608,-627,-613,-608,-604,-604,-618,-586,-627,-599,-599,-627,-608,-618,-627,-618,-622,-631,-631,-627,-613,-627,-627,-622,-636,-622,-599,-613,-622,-604,-618,-622,-636,-595,-604,-622,-618,-636,-631,-613,-599,-622,-622,-627,-631,-608,-618,-622,-631,-627,-631,-618,-622,-622,-627,-604,-641,-613,-622,-608,-590,-627,-618,-641,-636,-636
-627,-645,-636,-622,-613,-627,-631,-622,-627,-627,-622,-627,-613,-631,-604,-608,-622,-636,-618,-608,-613,-613,-627,-613,-622,-613,-618,-613,-613,-622,-618,-604,-627,-631,-627,-627,-608,-618,-636,-618,-636,-627,-631,-631,-636,-608,-608,-631,-627,-622,-636,-622,-622,-622,-618,-622,-613,-618,-618,-604,-613,-627,-622,-622,-613,-618,-613,-613,-627,-618,-622,-622,-627,-613,-613,-622,-608,-608,-622,-608,-613,-618,-618,-604,-618,-636,-622,-618,-599,-636,-613,-590,-604,-590,-613,-622,-604,-599,-608,-590,-608,-627,-618,-604,-599,-586,-608,-613,-595,-627,-604,-595,-595,-613,-590,-604,-590,-586,-586,-590,-618,-581,-618,-586,-595,-586,-586,-613,-581,-595,-595,-572,-590,-599,-590,-595,-608,-590,-577,-604,-595,-590,-586,-595,-590,-581,-595,-608,-604,-599,-590,-595,-608,-595,-586,-590,-595,-613,-572,-595,-590,-595,-599,-599,-572,-595,-581,-590,-599,-581,-595,-586,-586,-595,-590,-586,-599,-604,-595,-608,-608,-599,-599,-608,-604,-618,-604,-618,-608,-595,-599,-599,-608,-595,-595,-590,-604,-590,-599,-608,-599,-595,-599,-581,-595,-622,-604,-595,-613,-599,-595,-622,-608,-618,-627,-613,-613,-599,-599,-608,-604,-622,-618,-618,-595,-613,-608,-608,-599,-604,-618,-622,-608,-622,-608,-608,-581,-599,-608,-595,-599,-599,-599,-608,-590,-608,-595,-599,-599,-599,-608,-599,-618,-599,-608,-604,-608,-604,-622,-581,-613,-608,-590,-608,-608,-608,-627,-604,-613,-604,-608,-622,-608,-622,-590,-618,-608,-622,-613,-622,-608,-622,-608,-608,-595,-604,-613,-599,-604,-586,-599,-622,-590,-618,-604,-636,-622,-618,-599,-604,-627,-608,-622,-622,-618,-618,-641,-622,-618,-599,-613,-622,-622,-599,-604,-595,-595,-618,-618,-599,-622,-599,-590,-636,-604,-622,-595,-627,-627,-627,-599,-595,-622,-627,-622,-622,-618,-618,-613,-618,-636,-618,-631,-613,-608,-604,-613,-622,-613,-599,-631,-627,-604,-618,-618,-622,-622,-604,-618,-613,-618,-627,-618,-636,-618,-622,-641,-622,-622,-622,-631,-618,-631,-627,-608,-631,-622,-618,-627,-622,-618,-618
-622,-618,-618,-636,-631,-613,-618,-627,-645,-608,-599,-604,-631,-618,-604,-631,-622,-622,-631,-595,-622,-622,-604,-622,-631,-599,-618,-613,-627,-618,-618,-613,-627,-631,-590,-622,-618,-627,-613,-590,-608,-590,-618,-622,-618,-618,-618,-618,-618,-613,-622,-613,-618,-613,-599,-622,-608,-604,-608,-613,-599,-622,-608,-631,-618,-618,-604,-618,-613,-613,-618,-613,-595,-608,-590,-604,-613,-608,-599,-618,-631,-599,-604,-599,-627,-613,-608,-599,-613,-613,-618,-613,-586,-618,-599,-599,-604,-599,-595,-599,-599,-608,-604,-608,-608,-586,-618,-599,-590,-613,-595,-608,-595,-599,-586,-586,-595,-604,-595,-599,-586,-604,-586,-618,-590,-595,-590,-572,-581,-586,-590,-595,-586,-572,-577,-599,-586,-604,-586,-595,-590,-581,-599,-590,-595,-577,-590,-581,-586,-608,-604,-595,-586,-595,-581,-568,-608,-599,-590,-572,-559,-590,-581,-581,-599,-590,-599,-604,-590,-586,-586,-608,-572,-599,-599,-590,-595,-590,-577,-586,-595,-595,-586,-604,-595,-595,-613,-613,-599,-608,-568,-572,-599,-599,-604,-608,-604,-613,-613,-613,-627,-608,-613,-595,-599,-604,-599,-599,-590,-604,-595,-604,-618,-613,-613,-604,-613,-590,-595,-618,-599,-604,-599,-604,-604,-622,-604,-590,-608,-613,-599,-608,-604,-590,-595,-599,-604,-618,-604,-595,-613,-590,-586,-604,-604,-590,-595,-604,-618,-613,-608,-604,-604,-599,-599,-590,-599,-604,-608,-604,-604,-608,-595,-613,-613,-595,-586,-595,-608,-599,-631,-618,-590,-627,-622,-599,-590,-627,-595,-608,-595,-581,-595,-622,-618,-618,-604,-604,-595,-586,-631,-586,-581,-604,-604,-618,-595,-604,-599,-604,-608,-627,-618,-613,-608,-613,-618,-618,-599,-604,-586,-595,-618,-631,-604,-618,-608,-595,-599,-641,-604,-599,-618,-618,-627,-622,-604,-604,-590,-599,-613,-604,-622,-618,-604,-627,-604,-604,-618,-627,-622,-604,-631,-618,-608,-622,-618,-608,-604,-622,-608,-622,-627,-627,-618,-604,-618,-618,-627,-631,-618,-645,-618,-622,-618,-622,-608,-622,-627,-622,-613,-604,-613,-608,-622,-631,-631,-613,-641,-631,-622,-641
-622,-627,-618,-641,-618,-608,-618,-608,-627,-631,-613,-618,-631,-622,-622,-618,-645,-622,-631,-622,-618,-622,-622,-618,-613,-608,-608,-627,-613,-622,-618,-599,-613,-618,-613,-622,-627,-622,-618,-608,-604,-631,-590,-631,-604,-636,-622,-608,-622,-627,-622,-590,-622,-618,-618,-631,-622,-599,-618,-613,-608,-604,-613,-631,-608,-613,-599,-631,-613,-618,-618,-627,-622,-622,-622,-618,-608,-608,-618,-627,-627,-622,-595,-618,-627,-618,-613,-622,-599,-613,-599,-599,-586,-618,-599,-613,-613,-608,-608,-599,-608,-590,-618,-608,-595,-599,-604,-604,-586,-586,-599,-599,-613,-613,-590,-590,-595,-586,-590,-595,-595,-572,-581,-586,-577,-595,-577,-581,-590,-581,-595,-595,-581,-595,-595,-595,-595,-595,-586,-581,-595,-581,-581,-572,-572,-604,-595,-581,-590,-604,-604,-581,-586,-590,-581,-581,-595,-586,-618,-599,-595,-595,-572,-604,-595,-590,-568,-595,-608,-563,-577,-595,-595,-590,-595,-586,-599,-595,-586,-599,-590,-604,-595,-599,-599,-581,-590,-590,-595,-608,-604,-604,-581,-604,-599,-595,-590,-590,-618,-590,-608,-590,-599,-604,-581,-608,-608,-608,-595,-577,-608,-599,-595,-581,-608,-608,-604,-613,-604,-608,-590,-604,-618,-613,-586,-622,-608,-613,-604,-613,-608,-604,-613,-604,-613,-604,-599,-604,-613,-604,-613,-599,-595,-618,-604,-604,-590,-618,-590,-604,-604,-613,-599,-599,-622,-618,-595,-608,-590,-608,-590,-613,-590,-595,-604,-595,-604,-599,-595,-604,-613,-599,-613,-613,-618,-586,-604,-586,-631,-595,-641,-627,-618,-604,-608,-618,-604,-590,-613,-590,-604,-595,-622,-622,-604,-608,-604,-608,-604,-599,-613,-595,-622,-622,-613,-604,-618,-595,-599,-590,-631,-604,-622,-604,-622,-613,-595,-599,-608,-618,-622,-599,-631,-595,-595,-608,-595,-599,-622,-613,-631,-608,-622,-608,-613,-599,-604,-618,-622,-608,-599,-618,-599,-604,-627,-641,-608,-622,-618,-604,-631,-618,-608,-622,-631,-608,-631,-618,-608,-608,-618,-627,-631,-618,-622,-631,-631,-618,-631,-604,-608,-618,-636,-604,-618,-622,-636,-618,-627,-631,-641,-641
-618,-622,-618,-613,-618,-618,-627,-627,-604,-618,-613,-627,-627,-622,-618,-622,-613,-613,-627,-622,-627,-636,-627,-599,-618,-622,-618,-622,-613,-622,-622,-627,-613,-608,-613,-613,-627,-608,-636,-618,-608,-622,-618,-622,-622,-613,-618,-613,-608,-627,-622,-618,-613,-599,-581,-613,-613,-608,-604,-604,-613,-608,-613,-631,-613,-618,-613,-622,-618,-613,-618,-627,-595,-622,-627,-599,-622,-604,-613,-608,-599,-613,-599,-613,-613,-627,-622,-622,-613,-627,-595,-613,-604,-608,-595,-608,-618,-604,-622,-613,-613,-590,-604,-590,-595,-599,-595,-599,-590,-586,-604,-595,-590,-581,-599,-608,-572,-590,-586,-586,-599,-604,-599,-590,-595,-599,-590,-613,-595,-586,-586,-595,-586,-586,-563,-595,-599,-586,-581,-581,-586,-595,-590,-599,-586,-559,-590,-577,-581,-595,-599,-604,-595,-590,-595,-586,-590,-581,-608,-581,-604,-590,-599,-599,-595,-577,-581,-577,-581,-590,-604,-581,-608,-595,-590,-599,-604,-590,-595,-599,-590,-604,-595,-590,-572,-599,-608,-608,-599,-608,-586,-608,-636,-590,-599,-599,-595,-599,-595,-604,-595,-590,-608,-604,-608,-618,-590,-590,-599,-595,-608,-599,-613,-595,-608,-604,-599,-604,-599,-604,-599,-608,-599,-604,-608,-641,-613,-599,-586,-608,-604,-613,-618,-613,-595,-590,-599,-599,-618,-618,-604,-599,-599,-604,-608,-608,-586,-586,-581,-613,-622,-618,-604,-608,-613,-618,-595,-604,-595,-599,-604,-613,-608,-608,-618,-608,-590,-604,-627,-608,-599,-586,-613,-618,-613,-613,-622,-618,-604,-608,-608,-608,-622,-641,-595,-608,-590,-604,-622,-622,-622,-608,-613,-599,-618,-604,-604,-613,-595,-581,-604,-608,-608,-586,-613,-622,-622,-618,-608,-599,-622,-618,-595,-613,-599,-631,-604,-618,-599,-599,-604,-604,-608,-622,-631,-599,-631,-622,-608,-599,-608,-618,-608,-599,-627,-613,-641,-627,-622,-618,-613,-636,-631,-595,-645,-618,-631,-622,-627,-618,-622,-608,-613,-622,-622,-613,-631,-622,-599,-627,-613,-622,-622,-631,-599,-627,-613,-627,-604,-608,-618,-608,-618,-618,-608,-618,-608,-618,-622,-627,-627,-604
